tmdb_id,imdb_id,name,country,origin_country,year,first_air_date,original_language,averageRating,numVotes,weighted_rating,vote_average_tmdb,vote_count_tmdb,popularity
40075,tt1865718,Gravity Falls,US,US,2012,2012-06-15,en,8.9,179639,8.895158045221308,8.613,3482,56.5853
61222,tt3398228,BoJack Horseman,US,US,2014,2014-08-22,en,8.8,234373,8.796499278793735,8.5,2867,40.1613
2190,tt0121955,South Park,US,US,1997,1997-08-13,en,8.7,444615,8.698265111506286,8.342,5010,68.1133
95557,tt6741278,INVINCIBLE,US,US,2021,2021-03-25,en,8.7,342556,8.697748982988552,8.636,5855,89.228
15260,tt1305826,Adventure Time,US,US,2010,2010-04-05,en,8.7,133747,8.69424773073604,8.508,3124,51.1033
225180,tt13309742,BLUE EYE SAMURAI,US,US,2023,2023-11-03,en,8.7,104541,8.692648347865319,8.482,764,8.8766
61617,tt3718778,Over the Garden Wall,US,US,2014,2014-11-03,en,8.7,89911,8.691458728563129,8.568,1760,7.8398
138502,tt16026746,X-Men '97,US,US,2024,2024-03-20,en,8.7,53564,8.685716467670188,8.5,677,16.0251
84200,tt6025022,Justice League Unlimited,US,US,2004,2004-07-31,en,8.7,25834,8.670675746492028,8.299,871,15.425
456,tt0096697,The Simpsons,US,US,1989,1989-12-17,en,8.6,469059,8.598461908105522,8.019,10816,165.9778
10283,tt1486217,Archer,US,US,2009,2009-09-17,en,8.6,175737,8.595901967850798,7.945,1426,46.1212
31132,tt1710308,Regular Show,US,US,2010,2010-09-06,en,8.6,74870,8.590417607909263,8.638,2253,55.7717
33217,tt1641384,Young Justice,US,US,2010,2010-11-26,en,8.6,51101,8.586003664815044,8.39,1217,33.9272
204154,tt21056886,Scavengers Reign,US,US,2023,2023-10-19,en,8.6,36194,8.580317629806537,8.478,416,7.2848
2418,tt0417373,The Venture Bros.,US,US,2004,2004-08-07,en,8.6,30197,8.576472460114053,7.795,239,10.5526
89456,tt10332508,Primal,US,US,2019,2019-10-08,en,8.6,30060,8.576366986522288,8.652,1577,10.5688
92685,tt8050756,The Owl House,US,US,2020,2020-01-10,en,8.6,25794,8.57253271119347,8.668,1800,21.541
289219,tt36594331,Star Wars: Maul - Shadow Lord,US,US,2026,2026-04-06,en,8.6,25775,8.57251284902459,8.6,181,15.512
